Trace tail: last 500 steps before hitting 5M t-state limit.
Generated 2026-05-10. Full trace: 563808 steps, 5,000,008 t-states, iff1=false at cutoff.
Final PC at cutoff: 0x11E5 (inside RAMTOP-scan loop 2).

At the 5M t-state mark, the CPU is deep in loop 2 (0x11E2-0x11ED, scanning RAM upward).
Loop 2 takes ~4.1M t-states total. This trace is the middle of loop 2.

Extended trace (run-to-EI, 20M t-state limit) shows iff1=true at 5,705,613 t-states = 81.6 frames.

Columns: stepN, PC, opByte, A=, F=, BC=, DE=, HL=, SP=, I=, R=, iff1=, tStates=
638804, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x40, iff1=false, tStates=5699961
638805, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x41, iff1=false, tStates=5699965
638806, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x43, iff1=false, tStates=5699980
638807, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x44, iff1=false, tStates=5699991
638808, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x45, iff1=false, tStates=5699997
638809, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x46, iff1=false, tStates=5700004
638810, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x47, iff1=false, tStates=5700015
638811, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x48, iff1=false, tStates=5700022
638812, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x49, iff1=false, tStates=5700033
638813, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x4A, iff1=false, tStates=5700045
638814, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x4B, iff1=false, tStates=5700049
638815, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x4D, iff1=false, tStates=5700064
638816, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEB, SP=0xFFFF, I=0x3F, R=0x4E, iff1=false, tStates=5700075
638817, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x4F, iff1=false, tStates=5700081
638818, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x50, iff1=false, tStates=5700088
638819, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x51, iff1=false, tStates=5700099
638820, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x52, iff1=false, tStates=5700106
638821, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x53, iff1=false, tStates=5700117
638822, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x54, iff1=false, tStates=5700129
638823, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x55, iff1=false, tStates=5700133
638824, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x57, iff1=false, tStates=5700148
638825, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEC, SP=0xFFFF, I=0x3F, R=0x58, iff1=false, tStates=5700159
638826, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x59, iff1=false, tStates=5700165
638827, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5A, iff1=false, tStates=5700172
638828, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5B, iff1=false, tStates=5700183
638829, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5C, iff1=false, tStates=5700190
638830, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5D, iff1=false, tStates=5700201
638831, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFED, SP=0xFFFF, I=0x3F, R=0x5E, iff1=false, tStates=5700213
